Task,Terminus (%),Codex (%),Gap (%),Favors
task_008,60.0,26.7,+33.3,Terminus
task_085,16.7,50.0,-33.3,Codex
task_037,53.3,23.3,+30.0,Terminus
task_043,63.3,33.3,+30.0,Terminus
task_010,56.7,33.3,+23.3,Terminus
task_016,50.0,73.3,-23.3,Codex
task_024,66.7,43.3,+23.3,Terminus
task_038,60.0,36.7,+23.3,Terminus
task_045,60.0,36.7,+23.3,Terminus
task_054,60.0,36.7,+23.3,Terminus
task_065,60.0,36.7,+23.3,Terminus
task_072,53.3,30.0,+23.3,Terminus
task_077,56.7,33.3,+23.3,Terminus
task_034,60.0,40.0,+20.0,Terminus
task_052,60.0,40.0,+20.0,Terminus
task_068,46.7,26.7,+20.0,Terminus
task_069,66.7,46.7,+20.0,Terminus
task_071,43.3,23.3,+20.0,Terminus
task_079,46.7,26.7,+20.0,Terminus
task_086,60.0,40.0,+20.0,Terminus
task_087,56.7,36.7,+20.0,Terminus
task_015,43.3,26.7,+16.7,Terminus
task_018,33.3,50.0,-16.7,Codex
task_033,56.7,40.0,+16.7,Terminus
task_035,33.3,50.0,-16.7,Codex
task_041,46.7,30.0,+16.7,Terminus
task_050,43.3,26.7,+16.7,Terminus
task_060,46.7,30.0,+16.7,Terminus
task_063,53.3,36.7,+16.7,Terminus
task_083,46.7,30.0,+16.7,Terminus
task_004,40.0,26.7,+13.3,Terminus
task_013,46.7,33.3,+13.3,Terminus
task_020,30.0,43.3,-13.3,Codex
task_021,36.7,23.3,+13.3,Terminus
task_023,60.0,46.7,+13.3,Terminus
task_032,56.7,43.3,+13.3,Terminus
task_049,46.7,60.0,-13.3,Codex
task_053,53.3,66.7,-13.3,Codex
task_073,36.7,23.3,+13.3,Terminus
task_075,50.0,36.7,+13.3,Terminus
task_078,43.3,30.0,+13.3,Terminus
task_000,40.0,30.0,+10.0,Terminus
task_001,50.0,40.0,+10.0,Terminus
task_012,40.0,30.0,+10.0,Terminus
task_036,50.0,40.0,+10.0,Terminus
task_046,60.0,50.0,+10.0,Terminus
task_062,50.0,40.0,+10.0,Terminus
task_064,53.3,43.3,+10.0,Terminus
task_080,30.0,40.0,-10.0,Codex
task_082,46.7,36.7,+10.0,Terminus
task_084,46.7,36.7,+10.0,Terminus
task_003,46.7,53.3,-6.7,Codex
task_007,53.3,46.7,+6.7,Terminus
task_009,46.7,53.3,-6.7,Codex
task_014,43.3,36.7,+6.7,Terminus
task_022,50.0,56.7,-6.7,Codex
task_026,40.0,33.3,+6.7,Terminus
task_027,36.7,30.0,+6.7,Terminus
task_028,53.3,46.7,+6.7,Terminus
task_029,40.0,46.7,-6.7,Codex
task_030,50.0,43.3,+6.7,Terminus
task_031,43.3,36.7,+6.7,Terminus
task_042,26.7,33.3,-6.7,Codex
task_057,53.3,46.7,+6.7,Terminus
task_059,46.7,53.3,-6.7,Codex
task_061,40.0,33.3,+6.7,Terminus
task_066,46.7,53.3,-6.7,Codex
task_076,50.0,43.3,+6.7,Terminus
task_088,36.7,43.3,-6.7,Codex
task_002,46.7,43.3,+3.3,Terminus
task_005,43.3,46.7,-3.3,Codex
task_006,50.0,46.7,+3.3,Terminus
task_011,56.7,53.3,+3.3,Terminus
task_039,53.3,56.7,-3.3,Codex
task_048,46.7,43.3,+3.3,Terminus
task_051,40.0,36.7,+3.3,Terminus
task_055,56.7,53.3,+3.3,Terminus
task_056,56.7,53.3,+3.3,Terminus
task_070,30.0,26.7,+3.3,Terminus
task_081,46.7,43.3,+3.3,Terminus
task_017,56.7,56.7,+0.0,Tie
task_019,53.3,53.3,+0.0,Tie
task_025,53.3,53.3,+0.0,Tie
task_040,53.3,53.3,+0.0,Tie
task_044,43.3,43.3,+0.0,Tie
task_047,36.7,36.7,+0.0,Tie
task_058,36.7,36.7,+0.0,Tie
task_067,50.0,50.0,+0.0,Tie
task_074,46.7,46.7,+0.0,Tie
